Location,Crit Obliq,Debris Thick (m),Accum. Rate (mm/yr),Heat Flux (mW/m2),Filename,Within FSD,Ice left
Pavonis,43 +/- 2,0.5,30,30,PB_HF30_Acc30_Debris0_5Abl_5km_Obliq43,N,N
Pavonis,43 +/- 2,0.1,40,30,PB_HF30_Acc40_Debris0_1Abl_5km_Obliq43,Y,N
Pavonis,45 +/- 2,0.5,30,30,PB_HF30_Acc30_Debris0_5Abl_5km_Obliq45,Y,N
Pavonis,45 +/- 2,0.5,40,30,PB_HF30_Acc40_Debris0_5Abl_5km_Obliq45,Y,N
Pavonis,45 +/- 2,0.75,30,30,PB_HF30_Acc40_Debris0_75Abl_5km_Obliq45,N,N
Pavonis,43 +/- 2,0.4,30,30,PB_HF30_Acc30_Debris0_4Abl_5km_Obliq43,N,N
Pavonis,43 +/- 2,0.2,30,30,PB_HF30_Acc30_Debris0_2Abl_5km_Obliq43,Y,N
Pavonis,45 +/- 2,1,25,30,PB_HF30_Acc25_Debris1_0Abl_5km_Obliq45,N,N
Pavonis,43 +/- 2,2,15,30,PB_HF30_Acc15_Debris2_0Abl_5km_Obliq43,N,
Pavonis,45 +/- 2,2,15,30,PB_HF30_Acc15_Debris2_0Abl_5km_Obliq45,N,Y
Pavonis,45 +/- 2,2,10,30,PB_HF30_Acc10_Debris2_0Abl_5km_Obliq45,Y,Y
Pavonis,45 +/- 2,2,8,30,PB_HF30_Acc08_Debris2_0Abl_5km_Obliq45,Y,Y
Pavonis,45 +/- 2,1.5,15,30,PB_HF30_Acc15_Debris1_5Abl_5km_Obliq45,N,Y
Pavonis,45 +/- 2,1.5,20,30,PB_HF30_Acc20_Debris1_5Abl_5km_Obliq45,N,Y
Pavonis,45 +/- 2,1,22,30,PB_HF30_Acc22_Debris1_0Abl_5km_Obliq45,N,N
Pavonis,43 +/- 2,0.5,20,30,PB_HF30_Acc20_Debris0_5Abl_5km_Obliq43,N,N
Pavonis,45 +/- 2,1.0,20,30,PB_HF30_Acc20_Debris1_0Abl_5km_Obliq45,N,N
Pavonis,43 +/- 2,0.5,15,30,PB_HF30_Acc15_Debris0_5Abl_5km_Obliq43,Y,N
Pavonis,43 +/- 2,1,12,30,PB_HF30_Acc12_Debris1_0Abl_5km_Obliq43,N,Y
Pavonis,43 +/- 2,1.5,12,30,PB_HF30_Acc12_Debris1_5Abl_5km_Obliq43,N,Y
Pavonis,45 +/- 2,1.5,10,30,PB_HF30_Acc10_Debris1_5Abl_5km_Obliq45,Y,Y
Pavonis,45 +/- 2,1.0,15,30,PB_HF30_Acc15_Debris1_0Abl_5km_Obliq45,Y,N
Pavonis,43 +/- 2,1.0,10,30,PB_HF30_Acc10_Debris1_0Abl_5km_Obliq43,N,Y
Pavonis,43 +/- 2,1.5,9,30,PB_HF30_Acc09_Debris1_5Abl_5km_Obliq43,N,Y
Pavonis,43 +/- 2,1.0,8,30,PB_HF30_Acc08_Debris1_0Abl_5km_Obliq43,Y,Y
Pavonis,43 +/- 2,1.5,6,30,PB_HF30_Acc06_Debris1_5Abl_5km_Obliq43,Y,Y
Pavonis,43 +/- 2,2,5,30,PB_HF30_Acc05_Debris2_0Abl_5km_Obliq43,Y,Y
Arsia,40 +/- 2,0.5,40,30,PB_HF30_Acc40_Debris0_5Abl_10km_Obliq40_NEW,N,
Arsia,43 +/- 2,0.5,40,30,PB_HF30_Acc40_Debris0_5Abl_10km_Obliq43_NEW,N,N
Arsia,43 +/- 2,0.5,30,30,PB_HF30_Acc30_Debris0_5Abl_10km_Obliq43_NEW,N,N
Arsia,43 +/- 2,0.1,40,30,PB_HF30_Acc40_Debris0_1Abl_10km_Obliq43_NEW,Y,N
Arsia,40 +/- 2,0.5,30,30,PB_HF30_Acc30_Debris0_5Abl_10km_Obliq40_NEW,N,
Arsia,40 +/- 2,0.1,30,30,PB_HF30_Acc30_Debris0_1Abl_10km_Obliq40_NEW,Y,N
Arsia,45 +/- 2,0.5,40,30,PB_HF30_Acc40_Debris0_5Abl_10km_Obliq45_NEW,Y,N
Arsia,45 +/- 2,1,25,30,PB_HF30_Acc25_Debris1_0Abl_10km_Obliq45_NEW,N,Y
Arsia,45 +/- 2,2,25,30,PB_HF30_Acc25_Debris2_0Abl_10km_Obliq45_NEW,Y,Y
Arsia,43 +/- 2,0.5,30,40,PB_HF40_Acc30_Debris0_5Abl_10km_Obliq43_NEW,N,N
Arsia,43 +/- 2,1,20,40,PB_HF40_Acc20_Debris1_0Abl_10km_Obliq43_NEW,N,Y
Arsia,45 +/- 2,2,15,40,PB_HF40_Acc15_Debris2_0Abl_10km_Obliq45_NEW,Y,Y
Arsia,43 +/- 2,1,15,40,PB_HF40_Acc20_Debris1_0Abl_10km_Obliq43_NEW,N,Y
